년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
Aug-84,서울경기,26,22.8,30.1
Sep-84,서울경기,19.7,15.6,24.7
Oct-84,서울경기,13.4,8.1,19.2
Nov-84,서울경기,7.7,3.2,12.7
Dec-84,서울경기,-1.1,-4.9,3.3
Jan-85,서울경기,-6.2,-11,-1.2
Feb-85,서울경기,-0.7,-4.5,3.9
Mar-85,서울경기,3.8,-0.5,8.8
Apr-85,서울경기,10.8,5.4,16.8
May-85,서울경기,17.3,12.4,22.7
Jun-85,서울경기,21.4,17.1,26.5
Jul-85,서울경기,24.9,21.7,28.6
Aug-85,서울경기,26.1,22.8,30.2
Sep-85,서울경기,20,16.8,23.9
Oct-85,서울경기,14.4,9.6,19.4
Nov-85,서울경기,5.7,1.6,9.8
Dec-85,서울경기,-3.5,-7.6,0.6
Jan-86,서울경기,-5.8,-10.1,-1.2
Feb-86,서울경기,-3.6,-8.1,0.7
Mar-86,서울경기,4.3,-0.4,9.8
Apr-86,서울경기,11.1,5.6,17
May-86,서울경기,16.2,11.3,21.7
Jun-86,서울경기,21.2,17.3,25.7
Jul-86,서울경기,23.1,20,26.7
Aug-86,서울경기,24,20.7,28.1
Sep-86,서울경기,19.4,15.2,24.4
Oct-86,서울경기,12.3,8,17.2
Nov-86,서울경기,5,0.6,9.7
Dec-86,서울경기,1.6,-2.2,5.5
Jan-87,서울경기,-3.2,-7.4,1.2
Feb-87,서울경기,-0.5,-4.5,3.9
Mar-87,서울경기,3.6,-0.6,8.2
Apr-87,서울경기,9.9,4.8,15.5
May-87,서울경기,16.1,11.1,21.5
Jun-87,서울경기,21.6,16.9,26.6
Jul-87,서울경기,23.2,20.6,26.6
Aug-87,서울경기,24.1,21.3,27.8
Sep-87,서울경기,19.5,14.9,24.8
Oct-87,서울경기,14.8,10,20.3
Nov-87,서울경기,7.1,2.6,11.9
Dec-87,서울경기,0.5,-3.6,5.1
Jan-88,서울경기,-2.3,-6.3,2
Feb-88,서울경기,-1.8,-6.2,3.3
Mar-88,서울경기,3.7,-0.9,8.5
Apr-88,서울경기,10.5,5.5,15.9
May-88,서울경기,17,12,22.5
